index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,Promoted,Promotion_Type
1694,408-4858328-8941104,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,J0003,J0003-SET-XXL,Set,XXL,B0894XKVH3,Cancelled,0,INR,,MORADABAD,UTTAR PRADESH,244001.0,IN,,False,0,No Promotion
1695,407-8910545-4029964,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,J0338,J0338-DR-XL,Western Dress,XL,B09831MSSX,Cancelled,0,INR,,NOIDA,UTTAR PRADESH,201304.0,IN,,False,0,No Promotion
1696,404-9817487-8322703,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-M,Set,M,B0894XH3LN,Shipped,2,INR,1308.0,DEORIA,UTTAR PRADESH,274602.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1697,171-7758250-6622740,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0349,J0349-SET-S,Set,S,B099NJ4XRB,Shipped,1,INR,801.0,NEW DELHI,DELHI,110002.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1698,402-2191949-0899524,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3639,JNE3639-TP-N-XL,Top,XL,B08ZHRYMZD,Shipped,1,INR,487.0,Kalyan,MAHARASHTRA,421204.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1699,171-1711118-6138764,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3777,JNE3777-KR-XXL,kurta,XXL,B09K3ZDF82,Shipped,1,INR,399.0,MANGALURU,KARNATAKA,575029.0,IN,,False,0,No Promotion
1700,404-9231673-5888367,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-XXL,Set,XXL,B08XQ8MJZG,Shipped,1,INR,788.0,joshi road karol bagh new Delhi,Delhi,110005.0,IN,,False,0,No Promotion
1701,407-9040108-6689964,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697,JNE3697-KR-S,kurta,S,B09812G7DK,Shipped,1,INR,458.0,KANPUR,UTTAR PRADESH,208001.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,1,Amazon Financing
1702,408-7843376-7307514,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET345,SET345-KR-NP-XXXL,Set,3XL,B09KXV94NJ,Shipped,1,INR,626.0,NEW DELHI,DELHI,110062.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-XVPICCHRWDCAI,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-4UKS7UWZY3AES,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,1,Amazon Financing
1703,402-6880220-5223545,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET329,SET329-KR-NP-XXXL,Set,3XL,B09K36SNZ6,Shipped,1,INR,666.0,THANE,MAHARASHTRA,401107.0,IN,,False,0,No Promotion
